City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Dauphin,CA,2021-12-02 04:02:05,51.1494,-100.0502,27.88,95,100,8.05
1,Seymchan,RU,2021-12-02 04:02:07,62.8833,152.4333,-23.26,91,100,6.08
2,Ponta Do Sol,PT,2021-12-02 04:02:09,32.6667,-17.1,64.71,73,19,4.94
3,Ambatondrazaka,MG,2021-12-02 04:02:10,-17.8333,48.4167,68.52,79,57,6.33
4,Bilibino,RU,2021-12-02 04:02:11,68.0546,166.4372,-35.36,100,86,4.7
5,Albany,US,2021-12-02 04:00:17,42.6001,-73.9662,35.8,77,100,4.92
6,Njombe,TZ,2021-12-02 04:02:14,-9.3333,34.7667,57.99,95,100,6.11
7,Chubbuck,US,2021-12-02 04:02:16,42.9208,-112.4661,46.63,72,11,4.0
8,Vaitape,PF,2021-12-02 04:02:17,-16.5167,-151.75,79.66,76,100,12.71
9,Mar Del Plata,AR,2021-12-02 04:00:10,-38.0023,-57.5575,60.87,86,0,1.99
10,Guarapari,BR,2021-12-02 04:02:20,-20.6667,-40.4975,75.88,95,19,8.81
11,Bethel,US,2021-12-02 04:02:22,41.3712,-73.414,41.2,76,100,2.53
12,Dikson,RU,2021-12-02 04:02:24,73.5069,80.5464,-8.63,96,100,16.04
13,Hilo,US,2021-12-02 04:00:25,19.7297,-155.09,76.28,95,45,9.62
14,Yellowknife,CA,2021-12-02 04:01:02,62.456,-114.3525,-1.44,84,99,10.0
15,Tuktoyaktuk,CA,2021-12-02 04:02:29,69.4541,-133.0374,-7.92,94,100,6.55
16,Camargo,MX,2021-12-02 04:02:30,27.6667,-105.1667,65.46,48,75,3.38
17,Cabedelo,BR,2021-12-02 04:02:32,-6.9811,-34.8339,79.66,77,99,11.5
18,Thompson,CA,2021-12-02 04:02:34,55.7435,-97.8558,-5.44,91,99,5.48
19,Hami,CN,2021-12-02 04:02:37,42.8,93.45,27.66,56,0,3.04
20,Fairlie,GB,2021-12-02 04:02:39,55.756,-4.8556,37.22,81,32,15.95
21,Busselton,AU,2021-12-02 04:02:40,-33.65,115.3333,74.08,35,5,1.88
